Bil.,NAMA IPT,"KATEGORI PPT
(IPTA/ IPTS)",,NEGARA,
,Akademi Bomba dan Penyelamat Malaysia Wilayah Tengah,1,00001,130,
,Akademi Seni Budaya dan Warisan Kebangsaan (ASWARA),1,00002,130,
,Bahagian Pendidikan Teknik dan Vokasional,1,00003,130,
,"Darul Quran, Jabatan Kemajuan Islam Malaysia (JAKIM)",1,00004,130,
,INSTITUT KEMAHIRAN BELIA NEGARA,1,00005,130,
,Institut Kemahiran Islam Malaysia Sarawak (IKMAS),1,00006,130,
,Institut Kemahiran Tinggi PERDA (PERDA-TECH),1,00007,130,
,INSTITUT KRAF NEGARA (IKN),1,00008,130,
,Institut Latihan Kementerian Kesihatan Malaysia,1,00009,130,
,Institut Latihan Kesihatan Angkatan Tentera (INSAN),1,00010,130,
,INSTITUT LATIHAN PERINDUSTRIAN (ILP),1,00011,130,
,Institut Pendidikan Guru Malaysia (IPGM),1,00012,130,
,Institut Pengajian Islam dan Dakwah Sabah (IPDAS),1,00013,130,
,Institut Tadbiran Awam Negara (INTAN),1,00014,130,
,Institut Teknikal Jepun Malaysia (JMTI),1,00015,130,
,Kolej Kemahiran Tinggi MARA (KKTM),1,00016,130,
,"KOLEJ KOMUNITI, KEMENTERIAN PENGAJIAN TINGGI",1,00017,130,
,KOLEJ PROFESIONAL MARA,1,00018,130,
,"Kolej Vokasional , KPM",1,00019,130,
,MARA-Japan Industrial Institute (MJII),1,00020,130,
,"POLITEKNIK METrO, KEMENTERIAN PENGAJIAN TINGGI",1,00021,130,
,"POLITEKNIK, KEMENTERIAN PENGAJIAN TINGGI",1,00022,130,
,PUSAT LATIHAN TEKNOLOGI TINGGI (ADTEC),1,00023,130,
,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA (UIAM),1,00024,130,
,UNIVERSITI KEBANGSAAN MALAYSIA (UKM),1,00025,130,
,UNIVERSITI MALAYA (UM),1,00026,130,
,UNIVERSITI MALAYSIA KELANTAN (UMK),1,00027,130,
,Universiti Malaysia Pahang (UMP),1,00028,130,
,Universiti Malaysia Perlis (UniMAP),1,00029,130,
,UNIVERSITI MALAYSIA SABAH (UMS),1,00030,130,
,UNIVERSITI MALAYSIA SARAWAK (UNIMAS),1,00031,130,
,UNIVERSITI MALAYSIA TERENGGANU (UMT)/ KOLEJ UNIVERSITI SAINS DAN TEKNOLOGI MALAYSIA (KUSTEM),1,00032,130,
,UNIVERSITI PENDIDIKAN SULTAN IDRIS (UPSI),1,00033,130,
,UNIVERSITI PERTAHANAN NASIONAL MALAYSIA (UPNM)/ AKADEMI TENTERA MALAYSIA (ATMA),1,00034,130,
,UNIVERSITI PUTRA MALAYSIA (UPM),1,00035,130,
,Universiti Sains Islam Malaysia (USIM),1,00036,130,
,Universiti Sains Malaysia (USM),1,00037,130,
,Universiti Sultan Zainal Abidin (UniSZA),1,00038,130,
,UNIVERSITI TEKNIKAL MALAYSIA MELAKA (UTeM)/ KOLEJ UNIVERSITI TEKNIKAL KEBANGSAAN MALAYSIA,1,00039,130,
,Universiti Teknologi Malaysia (UTM),1,00040,130,
,UNIVERSITI TEKNOLOGI MARA (UiTM),1,00041,130,
,UNIVERSITI TUN HUSSEIN ONN (UTHM)/ KOLEJ UNIVERSITI TEKNOLOGI TUN HUSSEIN ONN (KUiTTHO),1,00042,130,
,Universiti Utara Malaysia (UUM),2,00043,MALAYSIA,Both
,"A.B. SHETTY MEMORIAL INSTITUTE OF DENTAL SCIENCE, MANGALORE, KARNATAKA",2,00044,,Both
,"ABDELMALEK ESSAADI UNIVERSITY (AEU), TETOUN",2,00045,,Both
,"ABERYSTWYTH UNIVERSITY/ THE UNIVERSITY OF WALES, ABERYSTWYTH",2,00046,,Both
,"ABILENE CHRISTIAN UNIVERSITY, ABILENE, TEXAS",2,00047,,Both
,"ACADEMY OF ART UNIVERSITY/ ACADEMY OF ART COLLEGE, SAN FRANCISCO, CALIFORNIA",2,00048,,Both
,"ACADEMY OF THE NEW CHURCH, BRYN ATHYN, PENNSYLVANIA",2,00049,,Both
,ACADIA UNIVERSITY,2,00050,,Both
,"ADAMS STATE UNIVERSITY/ ADAMS STATE COLLEGE, ALAMOSA, COLORADO",2,00051,,Both
,"ADELPHI UNIVERSITY, GARDEN CITY, NEW YORK",2,00052,,Both
,"ADRIAN COLLEGE, ADRIAN, MICHIGAN",2,00053,,Both
,ADVANCE TERTIARY COLLEGE (ATC COLLEGE)/KOLEJ PENGAJIAN TINGGI ATC (ATC COLLEGE)/ KOLEJ PENDIDIKAN TINGGI KEMAYAN (KEMAYAN ATC KUALA LUMPUR),2,00054,,Both
,"AGNES SCOTT COLLEGE, DECATUR, GEORGIA",2,00055,,Both
,AICHI UNIVERSITY OF EDUCATION,2,00056,,Both
,"AIMST UNIVERSITY/ ASIAN INSTITUTE OF MEDICINE, SCIENCE & TECHNOLOGY (AIMST)",2,00057,EGYPT,Both
,AIN SHAMS UNIVERSITY,2,00058,,Both
,Akademi Antarabangsa Malvern,2,00059,,Both
,Akademi City,2,00060,,Both
,AKADEMI DIGITAL ANIMASI DAN MEDIA (ADAM),2,00061,,Both
,AKADEMI HELP,2,00062,,Both
,AKADEMI INFOTECH MARA,2,00063,,Both
,AKADEMI KEJURURAWATAN TUNG SHIN,2,00064,,Both
,Akademi Latihan Penerbangan Asia Pasific,2,00065,,Both
,Akademi Laut Malaysia (ALAM),2,00066,,Both
,Akademi Maritim Sarawak,2,00067,,Both
,Akademi Pertama Rekabentuk Komunikasi,2,00068,,Both
,AKADEMI SENI BUDAYA DAN WARISAN KEBANGSAAN (ASWARA)/ AKADEMI SENI KEBANGSAAN,2,00069,,Both
,Akademi Seni dan Muzik Yamaha,2,00070,,Both
,Akademi Seni Lukis Dasein,2,00071,,Both
,"AKADEMI SENI RUPA,YOGYAKARTA",2,00072,,Both
,AKADEMI TEKNOLOGI KULIT,2,00073,,Both
,AKASHI TECHNOLOGICAL COLLEGE/AKASHI NATIONAL COLLEGE OF TECHNOLOGY,2,00074,,Both
,AKITA NATIONAL COLLEGE OF TECHNOLOGY,2,00075,,Both
,AKITA UNIVERSITY,2,00076,,Both
,"ALABAMA AGRICULTURE AND MECHANICAL UNIVERSITY, NORMAL, ALABAMA",2,00077,,Both
,"ALABAMA CHRISTIAN SCHOOL OF RELIGION, ALABAMA",2,00078,,Both
