Kod Institusi,Kod Peringkat Kelulusan,,,,,,,,
01209,1,,,,,,,,
01297,1,,,,,,,,
00012,1,,,,,,,,
00033,1,,,,,,,,
00041,1,,,,,,,,
00043,1,,,,,,,,
01306,1,,,,,,,,
02464,1,,,,,,,,
02465,1,,,,,,,,
00147,1,,,,,,,,
00012,1,,,,,,,,
00033,1,,,,,,,,
00041,1,,,,,,,,
00043,1,,,,,,,,
02464,1,,,,,,,,
02465,1,,,,,,,,
00026,1,,,,,,,,
00012,1,,,,,,,,
00043,1,,,,,,,,
03061,1,,,,,,,,
02371,1,,,,,,,,
02447,1,,,,,,,,
02463,1,,,,,,,,
00043,1,,,,,,,,
00043,1,,,,,,,,
00012,1,,,,,,,,
00043,1,,,,,,,,
03061,1,,,,,,,,
02371,1,,,,,,,,
02447,1,,,,,,,,
00012,1,,,,,,,,
00012,1,,,,,,,,
00012,1,,,,,,,,
00012,1,,,,,,,,
00012,1,,,,,,,,
00012,1,,,,,,,,
00012,1,,,,,,,,
00019,1,,,,,,,,
00019,1,,,,,,,,
00019,1,,,,,,,,
00019,1,,,,,,,,
00019,1,,,,,,,,
00019,1,,,,,,,,
00019,1,,,,,,,,
00026,1,,,,,,,,
00033,1,,,,,,,,
00093,1,,,,,,,,
00427,1,,,,,,,,
00904,1,,,,,,,,
00908,1,,,,,,,,
00911,1,,,,,,,,
01055,1,,,,,,,,
01074,1,,,,,,,,
01075,1,,,,,,,,
01087,1,,,,,,,,
01092,1,,,,,,,,
01102,1,,,,,,,,
01106,1,,,,,,,,
01116,1,,,,,,,,
01124,1,,,,,,,,
01127,1,,,,,,,,
01127,1,,,,,,,,
01137,1,,,,,,,,
01283,1,,,,,,,,
01153,1,,,,,,,,
01153,1,,,,,,,,
01154,1,,,,,,,,
01158,1,,,,,,,,
01158,1,,,,,,,,
01158,1,,,,,,,,
03056,1,,,,,,,,
01189,1,,,,,,,,
01192,1,,,,,,,,
01195,1,,,,,,,,
01209,1,,,,,,,,
01211,1,,,,,,,,
01221,1,,,,,,,,
01227,1,,,,,,,,
01234,1,,,,,,,,
03058,1,,,,,,,,
02453,1,,,,,,,,
02453,1,,,,,,,,
02453,1,,,,,,,,
02453,1,,,,,,,,
02453,1,,,,,,,,
01244,1,,,,,,,,
01246,1,,,,,,,,
01246,1,,,,,,,,
01250,1,,,,,,,,
01251,1,,,,,,,,
03059,1,,,,,,,,
01260,1,,,,,,,,
03060,1,,,,,,,,
01275,1,,,,,,,,
01277,1,,,,,,,,
01277,1,,,,,,,,
01279,1,,,,,,,,
01281,1,,,,,,,,
01283,1,,,,,,,,
01292,1,,,,,,,,
01301,1,,,,,,,,
01306,1,,,,,,,,
01307,1,,,,,,,,
03062,1,,,,,,,,
01315,1,,,,,,,,
01321,1,,,,,,,,
01863,1,,,,,,,,
02371,1,,,,,,,,
02371,1,,,,,,,,
02417,1,,,,,,,,
01287,1,,,,,,,,
02441,1,,,,,,,,
02442,1,,,,,,,,
02448,1,,,,,,,,
02453,1,,,,,,,,
02454,1,,,,,,,,
02463,1,,,,,,,,
02464,1,,,,,,,,
