Kod Institusi,Kod Pengkhususan,Kod Peringkat Kelulusan,Kod Kategori ,,,,,,,,
03062,23128,1,1,,,,,,,,
00012,23118,1,1,,,,,,,,
00012,23136,1,1,,,,,,,,
00012,23145,1,1,,,,,,,,
00012,23146,1,1,,,,,,,,
00012,23147,1,1,,,,,,,,
00012,23437,1,1,,,,,,,,
00019,23128,1,1,,,,,,,,
00026,23111,1,1,,,,,,,,
00026,23100,1,1,,,,,,,,
00026,23118,1,1,,,,,,,,
00031,23115,1,1,,,,,,,,
00033,23120,1,1,,,,,,,,
00033,23128,1,1,,,,,,,,
00036,23122,1,1,,,,,,,,
00038,23121,1,1,,,,,,,,
00038,23099,1,1,,,,,,,,
00038,23139,1,1,,,,,,,,
00040,23151,1,1,,,,,,,,
00041,23120,1,1,,,,,,,,
00043,23117,1,1,,,,,,,,
00043,23120,1,1,,,,,,,,
00043,23439,1,1,,,,,,,,
00093,23128,1,1,,,,,,,,
00147,23113,1,1,,,,,,,,
00147,23152,1,1,,,,,,,,
00427,23128,1,1,,,,,,,,
00904,23128,1,1,,,,,,,,
00908,23107,1,1,,,,,,,,
00911,23101,1,1,,,,,,,,
00953,23453,1,1,,,,,,,,
01055,23128,1,1,,,,,,,,
01074,23128,1,1,,,,,,,,
01075,23101,1,1,,,,,,,,
01087,23130,1,1,,,,,,,,
01092,23128,1,1,,,,,,,,
01092,23103,1,1,,,,,,,,
01102,23128,1,1,,,,,,,,
01106,23128,1,1,,,,,,,,
01116,23128,1,1,,,,,,,,
01124,23148,1,1,,,,,,,,
01127,23100,1,1,,,,,,,,
01127,23128,1,1,,,,,,,,
01127,23135,1,1,,,,,,,,
01137,23128,1,1,,,,,,,,
01153,23133,1,1,,,,,,,,
01153,23105,1,1,,,,,,,,
01154,23129,1,1,,,,,,,,
01158,23128,1,1,,,,,,,,
01189,23128,1,1,,,,,,,,
01192,23128,1,1,,,,,,,,
01195,23128,1,1,,,,,,,,
01195,23140,1,1,,,,,,,,
01209,23144,1,1,,,,,,,,
01209,23128,1,1,,,,,,,,
01211,23128,1,1,,,,,,,,
01211,23132,1,1,,,,,,,,
01221,23128,1,1,,,,,,,,
01227,23128,1,1,,,,,,,,
01234,23137,1,1,,,,,,,,
01236,23104,1,1,,,,,,,,
01244,23101,1,1,,,,,,,,
01246,23128,1,1,,,,,,,,
01250,23149,1,1,,,,,,,,
01251,23128,1,1,,,,,,,,
01260,23128,1,1,,,,,,,,
01275,23128,1,1,,,,,,,,
01277,23131,1,1,,,,,,,,
01277,23128,1,1,,,,,,,,
01277,23137,1,1,,,,,,,,
01277,23134,1,1,,,,,,,,
01279,23128,1,1,,,,,,,,
01281,23128,1,1,,,,,,,,
01283,23128,1,1,,,,,,,,
01283,23101,1,1,,,,,,,,
01285,23143,1,1,,,,,,,,
01285,23141,1,1,,,,,,,,
01285,23142,1,1,,,,,,,,
01287,23133,1,1,,,,,,,,
01292,23128,1,1,,,,,,,,
01297,23138,1,1,,,,,,,,
01298,23118,1,1,,,,,,,,
01298,23109,1,1,,,,,,,,
01301,23128,1,1,,,,,,,,
01306,23454,1,1,,,,,,,,
