KOD IPT,KOD  PROGRAM (5 digit),KOD PERINGKAT Kelulusan,Kod Kategori
00044,09904,4,2
00045,17946,4,2
00045,17947,4,2
00046,03694,4,2
00046,03710,4,2
00046,03736,4,2
00046,03749,4,2
00046,03762,4,2
00046,03782,4,2
00046,03783,4,2
00046,03784,4,2
00046,03785,4,2
00046,03786,4,2
00046,03787,4,2
00046,03788,4,2
00046,03789,4,2
00046,03790,4,2
00046,03794,4,2
00046,03799,4,2
00046,03804,4,2
00046,03805,4,2
00046,03806,4,2
00046,03807,4,2
00046,03808,4,2
00046,03809,4,2
00046,03810,4,2
00046,03811,4,2
00046,03813,4,2
00046,03814,4,2
00046,03815,4,2
00046,03817,4,2
00046,03818,4,2
00046,03819,4,2
00046,03820,4,2
00046,03821,4,2
00046,03822,4,2
00046,03823,4,2
00046,03827,4,2
00046,03829,4,2
00046,03830,4,2
00046,03831,4,2
00046,03832,4,2
00046,03833,4,2
00046,03834,4,2
00046,03835,4,2
00046,03845,4,2
00046,03846,4,2
00046,03847,4,2
00046,03848,4,2
00046,03849,4,2
00046,03850,4,2
00046,03851,4,2
00046,03852,4,2
00046,03853,4,2
00046,03854,4,2
00046,03855,4,2
00046,03865,4,2
00046,03867,4,2
00046,03869,4,2
00046,03872,4,2
00046,03873,4,2
00046,03874,4,2
00046,03876,4,2
00046,03907,4,2
00046,03910,4,2
00046,03911,4,2
00046,03912,4,2
00046,03913,4,2
00046,03914,4,2
00046,03915,4,2
00046,03916,4,2
00046,03917,4,2
00046,04303,4,2
00046,04304,4,2
00046,04648,4,2
00046,04848,4,2
00046,04936,4,2
00046,04940,4,2
00046,05340,4,2
00046,05710,4,2
00046,06035,4,2
00046,06356,4,2
00046,06536,4,2
00046,06690,4,2
00046,06791,4,2
00046,07018,4,2
00046,07607,4,2
00046,07632,4,2
00046,07710,4,2
00046,07969,4,2
00046,08226,4,2
00046,08647,4,2
00046,08932,4,2
00046,09227,4,2
00046,11703,4,2
00046,11704,4,2
00046,11705,4,2
00046,11706,4,2
00046,11707,4,2
00046,11717,4,2
00046,11718,4,2
00046,11719,4,2
00046,11720,4,2
00046,11725,4,2
00046,11727,4,2
00046,11729,4,2
00046,11736,4,2
00046,11739,4,2
00046,11740,4,2
00046,11796,4,2
00046,11797,4,2
00046,11798,4,2
00046,11819,4,2
00046,11872,4,2
00046,11892,4,2
00046,11907,4,2
00046,11947,4,2
00046,11976,4,2
00046,11983,4,2
00046,12015,4,2
00046,12073,4,2
00046,12088,4,2
00046,12089,4,2
00046,12112,4,2
00046,12262,4,2
00046,12295,4,2
00046,12312,4,2
00046,12315,4,2
00046,12316,4,2
00046,12317,4,2
00046,12405,4,2
00046,12421,4,2
00046,12458,4,2
00046,12461,4,2
00046,12471,4,2
00046,12499,4,2
00046,12541,4,2
00046,12542,4,2
00046,12567,4,2
00046,12584,4,2
00046,12616,4,2
00046,12627,4,2
00046,12645,4,2
00046,12659,4,2
00046,12708,4,2
00046,12709,4,2
00046,12722,4,2
00046,12737,4,2
00046,12739,4,2
00046,12740,4,2
00046,12741,4,2
00046,12742,4,2
00046,12782,4,2
00046,12813,4,2
00046,12865,4,2
00046,12866,4,2
00046,12867,4,2
00046,12871,4,2
00046,12872,4,2
00046,12911,4,2
00046,12912,4,2
00046,12913,4,2
00046,12914,4,2
00046,12915,4,2
00046,12916,4,2
00046,12942,4,2
00046,13001,4,2
00046,13007,4,2
00046,13090,4,2
00046,13114,4,2
00046,13117,4,2
00046,13227,4,2
00046,13248,4,2
00046,13250,4,2
00046,13283,4,2
00046,13285,4,2
00046,13307,4,2
00046,13329,4,2
00046,13330,4,2
00046,13332,4,2
00046,13334,4,2
00046,13397,4,2
00046,13398,4,2
00046,13426,4,2
00046,13513,4,2
00046,13599,4,2
00046,20117,4,2
00046,20119,4,2
00046,20120,4,2
00046,20121,4,2
00046,20139,4,2
00046,20154,4,2
00046,20186,4,2
00046,20187,4,2
00046,20188,4,2
00046,20189,4,2
00046,20190,4,2
00047,04400,4,2
00047,10928,4,2
00048,04400,4,2
00048,10928,4,2
00049,04400,4,2
00049,10928,4,2
00050,09311,4,2
00050,11212,4,2
00051,04400,4,2
00051,09164,4,2
00051,10928,4,2
00052,04400,4,2
00052,10928,4,2
00053,04400,4,2
00053,10928,4,2
00054,10622,4,2
00054,10639,4,2
00054,10640,4,2
00054,14893,2,2
00054,15697,2,2
00054,17878,4,2
00055,04400,4,2
00055,10928,4,2
00056,04401,4,2
00057,04062,4,2
00057,04064,4,2
00057,10076,4,2
00057,10755,4,2
00057,11131,4,2
00057,14502,2,2
00057,14515,2,2
00057,15105,2,2
00057,15196,2,2
00057,17869,4,2
00057,17889,4,2
00057,17998,4,2
00057,17999,4,2
00057,18092,4,2
00057,18373,4,2
00057,18767,4,2
00057,18941,4,2
00058,15727,2,2
00058,09903,4,2
00058,10754,4,2
00058,20287,6,2
00058,21174,4,2
00059,00128,4,2
00059,15882,2,2
00059,16224,2,2
00059,20345,6,2
00059,03726,4,2
00059,14555,2,2
00059,15922,2,2
00059,16010,2,2
00059,16930,2,2
00001,15604,2,2
00001,16426,2,2
00060,16109,2,2
00060,16265,2,2
00061,14390,2,2
00062,14959,2,2
00062,16109,2,2
00063,15652,2,2
00063,16453,2,2
00063,16465,2,2
00063,16652,2,2
00063,16941,2,2
00064,15103,2,2
00065,15743,2,2
00066,15266,2,2
00066,15270,2,2
00066,15271,2,2
00066,15878,2,2
00067,14902,2,2
00067,14965,2,2
00068,04578,4,2
00068,08974,4,2
00068,08976,4,2
00068,14682,2,2
00068,14761,2,2
00068,14773,2,2
00068,14818,2,2
00068,14951,2,2
00068,15049,2,2
00068,15937,2,2
00068,16371,2,2
00002,14385,2,2
00002,14510,2,2
00002,16210,2,2
00002,16368,2,2
00002,16530,2,2
00002,16569,2,2
00002,16608,2,2
00002,16690,2,2
00002,17765,7,2
00002,17910,4,2
00002,18002,4,2
00002,18004,4,2
00002,18008,4,2
00002,18351,4,2
00002,18354,4,2
00002,18355,4,2
00002,18583,4,2
00002,18679,4,2
00002,18680,4,2
00002,19572,4,2
00002,19593,4,2
00002,19635,4,2
00002,19636,4,2
00002,19637,4,2
00002,19638,4,2
00002,19640,4,2
00002,20078,6,2
00069,14396,2,2
00069,14511,2,2
00069,16210,2,2
00069,16211,2,2
00069,16532,2,2
00069,16569,2,2
00069,16570,2,2
00069,16608,2,2
00069,16609,2,2
00069,16690,2,2
00069,16691,2,2
00069,18003,4,2
00069,18005,4,2
00069,18006,4,2
00069,18007,4,2
00069,18008,4,2
00069,18352,4,2
00069,18353,4,2
00069,18354,4,2
00069,18355,4,2
00069,18679,4,2
00069,18680,4,2
00069,19635,4,2
00069,19636,4,2
00069,19637,4,2
00069,19638,4,2
00069,19639,4,2
00069,19641,4,2
00070,15657,2,2
00070,15659,2,2
00071,14385,2,2
00071,14396,2,2
00071,14432,2,2
00071,14433,2,2
00071,14688,2,2
00071,15483,2,2
00071,15498,2,2
00071,16530,2,2
00071,16532,2,2
